Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,532887351,6836.674472853288,2670877,34.265997441607404,210122,6307021,80.91588098222586,7138,0.09157692014203342,351
United States of America,Americas,84292712,25465.872,471879,142.56,0,1000850,302.369,1904,0.575,0
India,South-East Asia,43230101,3132.606,48766,3.534,8084,524771,38.027,70,0.005,10
Brazil,Americas,31315777,14732.717,162708,76.547,0,667647,314.099,650,0.306,0
France,Europe,28947795,44508.119,206292,317.18,79397,145428,223.6,236,0.363,0
Germany,Europe,26809245,32235.548,275967,331.824,1223,139807,168.105,27,0.032,0
The United Kingdom,Europe,22363071,32942.094,24502,36.093,0,179083,263.8,69,0.102,0
Russian Federation,Europe,18379583,12594.409,24383,16.708,2996,380076,260.443,492,0.337,56
Republic of Korea,Western Pacific,18229288,35556.032,60580,118.161,3828,24388,47.569,109,0.213,17
Italy,Europe,17653375,29599.153,147402,247.147,19310,167391,280.662,442,0.741,26
Turkey,Europe,15073722,17872.764,0,0,0,98969,117.347,0,0,0
Spain,Europe,12478994,26364.472,10409,21.991,0,107108,226.288,128,0.27,0
Viet Nam,Western Pacific,10731812,11025.24,6573,6.753,568,43083,44.261,3,0.003,1
Argentina,Americas,9276618,20525.41,0,0,0,128973,285.365,0,0,0
Japan,Western Pacific,9051732,7156.851,105948,83.769,13128,30891,24.424,139,0.11,12
Netherlands,Europe,8101839,46542.005,8928,51.288,0,22332,128.289,6,0.034,0
Australia,Western Pacific,7568100,29678.959,159773,626.564,0,8957,35.126,220,0.863,0
Iran (Islamic Republic of),Eastern Mediterranean,7233688,8612.256,957,1.139,160,141350,168.288,19,0.023,1
Colombia,Americas,6109105,12006.207,0,0,0,139867,274.88,0,0,0
Indonesia,South-East Asia,6061079,2215.925,3937,1.439,591,156652,57.272,30,0.011,9
Poland,Europe,6010090,15833.469,1425,3.754,45,116371,306.577,22,0.058,0
Mexico,Americas,5802672,4500.541,7560,5.864,0,325055,252.112,1,0.001,0
Ukraine,Europe,5014929,11466.952,0,0,0,108605,248.332,0,0,0
Portugal,Europe,4917127,47758.066,80154,778.503,0,23531,228.547,169,1.641,0
Malaysia,Western Pacific,4526298,13984.731,11309,34.941,1571,35712,110.338,24,0.074,1
Thailand,South-East Asia,4486664,6427.887,17709,25.371,1801,30349,43.48,151,0.216,15
Austria,Europe,4327840,48621.603,24882,279.54,2857,19969,224.344,12,0.135,1
Israel,Europe,4186607,48369.097,33018,381.467,5817,10882,125.723,10,0.116,1
Belgium,Europe,4170252,36192.438,6040,52.419,0,31816,276.122,15,0.13,0
South Africa,Africa,3977628,6706.653,9423,15.888,0,101477,171.1,160,0.27,0
Czechia,Europe,3923029,36684.602,1877,17.552,61,40302,376.868,7,0.065,0
Canada,Americas,3889420,10305.241,8780,23.263,0,41348,109.554,67,0.178,0
China,Western Pacific,3882294,263.871,489992,33.304,51110,18787,1.277,1236,0.084,163
Chile,Americas,3783945,19794.44,35326,184.796,0,58036,303.596,63,0.33,0
Philippines,Western Pacific,3693222,3370.31,1677,1.53,308,60461,55.175,5,0.005,5
Switzerland,Europe,3667745,42379.051,916,10.584,0,13267,153.294,1,0.012,0
Peru,Americas,3587142,10879.406,2886,8.753,0,213289,646.882,41,0.124,0
Greece,Europe,3500489,32658.187,30121,281.017,3682,30020,280.075,102,0.952,8
Denmark,Europe,3143392,53984.543,4714,80.958,0,6404,109.982,28,0.481,0
Romania,Europe,2912705,15069.219,2152,11.134,168,65714,339.979,22,0.114,1
Sweden,Europe,2510930,24312.838,1043,10.099,0,19049,184.448,0,0,0
Iraq,Eastern Mediterranean,2329813,5792.314,1143,2.842,151,25222,62.706,1,0.002,0
Serbia,Europe,2020338,29167.375,1729,24.961,165,16101,232.448,13,0.188,2
Bangladesh,South-East Asia,1954243,1186.624,586,0.356,128,29131,17.688,0,0,0
Hungary,Europe,1921486,19668.16,1646,16.848,0,46571,476.697,24,0.246,0
Slovakia,Europe,1791220,32819.012,964,17.663,28,20116,368.568,12,0.22,0
Jordan,Eastern Mediterranean,1697271,16634.801,0,0,0,14068,137.879,0,0,0
Georgia,Europe,1658240,41568.495,511,12.81,0,16835,422.017,7,0.175,0
Ireland,Europe,1570519,31635.371,2264,45.604,0,7416,149.382,15,0.302,0
Pakistan,Eastern Mediterranean,1531179,693.179,474,0.215,67,30381,13.754,2,0.001,0
Norway,Europe,1436115,26755.353,1172,21.835,0,3210,59.803,0,0,0
Kazakhstan,Europe,1395061,7429.743,97,0.517,6,19017,101.28,1,0.005,0
Singapore,Western Pacific,1341256,22926.113,22272,380.696,2503,1397,23.879,4,0.068,0
New Zealand,Western Pacific,1236398,25639.533,41523,861.074,4481,1267,26.274,81,1.68,6
Morocco,Eastern Mediterranean,1175604,3185.007,5410,14.657,500,16082,43.57,2,0.005,0
Bulgaria,Europe,1166901,16786.363,1045,15.033,42,37196,535.08,33,0.475,0
Croatia,Europe,1139816,28086.98,1770,43.616,153,16019,394.735,21,0.517,3
Finland,Europe,1114573,20172.201,4287,77.589,0,4714,85.317,0,0,0
Cuba,Americas,1105546,9760.603,85,0.75,0,8529,75.301,0,0,0
Lebanon,Eastern Mediterranean,1101109,16132.413,1288,18.871,238,10445,153.03,8,0.117,4
Lithuania,Europe,1064064,38082.667,954,34.143,19,9155,327.656,6,0.215,2
Tunisia,Eastern Mediterranean,1043540,8829.627,668,5.652,0,28648,242.397,7,0.059,0
Slovenia,Europe,1028306,49063.655,2000,95.426,138,7805,372.401,4,0.191,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979271,3360.941,65,0.223,9,11952,41.02,0,0,0
Uruguay,Americas,934961,26915.189,0,0,0,7262,209.055,0,0,0
Mongolia,Western Pacific,926282,28255.035,0,0,0,2115,64.515,0,0,0
United Arab Emirates,Eastern Mediterranean,917496,9276.63,6561,66.337,1249,2305,23.305,0,0,0
Bolivia (Plurinational State of),Americas,911188,7805.931,1054,9.029,0,21950,188.04,1,0.009,0
Costa Rica,Americas,904934,17764.292,0,0,0,8525,167.35,0,0,0
Ecuador,Americas,886223,5023.07,1944,11.019,0,35649,202.057,0,0,0
Panama,Americas,882253,20447.292,10401,241.056,0,8284,191.992,15,0.348,0
Guatemala,Americas,867301,4841.047,2741,15.3,0,18244,101.833,36,0.201,0
Latvia,Europe,830698,43545.048,1304,68.355,77,5839,306.079,9,0.472,0
Azerbaijan,Europe,792884,7820.005,76,0.75,14,9715,95.816,2,0.02,0
Saudi Arabia,Eastern Mediterranean,777795,2234.153,6493,18.651,905,9173,26.349,17,0.049,3
Puerto Rico,Americas,705798,24670.894,13532,473.006,0,4427,154.744,28,0.979,0
Sri Lanka,South-East Asia,663960,3100.697,76,0.355,10,16519,77.144,1,0.005,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657879,12896.013,174,3.411,0,5660,110.95,0,0,0
Paraguay,Americas,651268,9130.943,0,0,0,18911,265.137,0,0,0
Kuwait,Eastern Mediterranean,635868,14889.531,1526,35.733,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613452,1127.466,65,0.119,9,19434,35.718,0,0,0
Bahrain,Eastern Mediterranean,595787,35013.855,6986,410.561,1166,1489,87.507,1,0.059,0
Dominican Republic,Americas,588408,5424.16,1482,13.662,0,4379,40.367,2,0.018,0
Estonia,Europe,577655,43466.172,166,12.491,0,2574,193.683,0,0,0
Venezuela (Bolivarian Republic of),Americas,524033,1842.855,200,0.703,0,5722,20.122,0,0,0
Republic of Moldova,Europe,519228,12871.412,0,0,0,11551,286.344,0,0,0
Egypt,Eastern Mediterranean,514008,502.283,33,0.032,33,24720,24.156,1,0.001,1
Libya,Eastern Mediterranean,502076,7306.865,36,0.524,0,6430,93.578,0,0,0
Cyprus,Europe,493984,55628.516,2207,248.535,0,1068,120.27,1,0.113,0
Ethiopia,Africa,476398,414.39,1386,1.206,0,7516,6.538,1,0.001,0
Honduras,Americas,425564,4296.627,93,0.939,0,10902,110.07,2,0.02,0
Armenia,Europe,423006,14275.147,0,0,0,8625,291.067,0,0,0
Réunion,Africa,418585,46752.975,1924,214.897,0,796,88.908,12,1.34,0
Oman,Eastern Mediterranean,389758,7632.398,285,5.581,0,4260,83.421,0,0,0
Bosnia and Herzegovina,Europe,378095,11524.423,109,3.322,6,15793,481.374,5,0.152,0
Qatar,Eastern Mediterranean,372261,12921.005,2332,80.943,415,677,23.498,0,0,0
Kenya,Africa,326217,606.675,663,1.233,0,5651,10.509,0,0,0
